Supination,palm of the hand faces forward,palm of the hand faces backward,palm of the hand faces medial,palm of the hand faces lateral,A
Loose mixture of adipose and loose areolar tissues,Skin,Superficial fascia,Deep fascia,aponeurosis,B
Example of irregular bone is,humerus,scapula,vertebra,tarsal bone,C
These are membranous organelle that contains oxidative and catalases enzymes,RER,centrioles,Peroxisomes,Ribosomes,C
The 5 year old boy has presented with abnormal size of abdomen . After medical examination and ultrasound investigation revealed hepatomegaly. Biopsy from liver showed increase glycogen deposition in hepatocytes. The organelle affected responsible for this condition is ......,RER,Lysosomes,Ribosomes,centrioles,B
Muscular tissue supplied by somatic nervous system,skeletal,cardiac,smooth,non-striated,A
Resolving power of light microscope is,0.2 µm,0.2 nm,0.2 m,0.2 mm,A
By electron microscope; cell membrane appears as,trilaminar structure,bilaminar structure,basophilic structure,acidophilic structure,A
Elbow joint is,uniaxial joint,biaxial joint,multiaxial joint,fibrous joint,A
Form proteins for local use in the cell,Attached ribosomes,SER,Free ribosomes,Centrioles,C
Glycogen can be stained by,Silver,PAS,Sudan III,Sudan black,B
Localized thickening of deep fascia around joints,Tendon,Aponeurosis,Bursa,retinaculum,D
provides stability to the cell membrane,Cholesterol,Phospholipid,Integral protein,Charbohydrates,A
Para nasal sinuses are,flat bone,pneumatic bone,irregular bone,flat bone,B
Regarding to muscular tissue,Contractible,Inelastic,rigid tissue,denervated tissue,A
is the ability of microscope to magnify objects,Resolving power,Magnification power,Staining power,Electron power,B
Cristae could be seen in,Mitochondria,Ribosomes,RER,SER,A
Shoulder joint is,uniaxial joint,biaxial joint,multiaxial joint,fibrous joint,C
Promation,palm of the hand faces forward,palm of the hand faces backward,palm of the hand faces medial,palm of the hand faces lateral,B
The newborn infant has born presented with yellowish color of his skin . Doctor told his parents not worried about this condition and will resolve with time . The organelle involved in this condition is ......,RER,SER,Mitochondria,Ribosomes,B
Plane which divides the body into two equal right & left halves,Coronal plane,Sagittal plane,Horizontal plane,Transverse plane,B
Movement of a part of the body towards the median plane called,Flexion,Protraction,Extension,Adduction,D
They supply the bones near to the joint ends,Nutrient arteries,Periosteal arteries,Articular arteries,Long arteries,C
is an example of spongy bone,end of long bones,shaft of long bones,end and shaft of long bones,bone marrow,A
Type of suture is,synovial joint,1ry cartilaginous joint,2ry cartilaginous joint,fibrous joint,D
Epiphysial cartilage plate is,1ry cartilaginous joint,2ry cartilaginous joint,fibrous joint,synovial joint,A
Biceps muscle is,Convergent type,parallel type,Circular type,Segmented type,B
Action of Triceps in elbow flexion is,agonist,antagonist,fixator,prime mover,B
Oral cavity is separated from the nose by,Nasopharynx,Lips,Oropharynx,Hard and soft palate,D
The large intestine begins at the......and terminates at ...... the,Ileum &Rectum respectively,Caecum & anal canal respectively,Ascending colon& Anal canal respectively,Ileum & anal canal respectively,B
The resolution power for light microscope is,0.2 μm,0.2 mm,0.2 μm,0.2 mm,A
The processes that is required for preparation of cells and tissues to be studied under microscope,Macro technique,Micro technique,Cell culture,Tissue culture,B
By using electron microscope the cell membrane appears as,Bilaminar structure,Trilaminar structure,Monolaminar structure,May appear bilaminar or trilaminar,B
Regarding to the cell membrane Carbohydrates,are present at the internal surface of the membrane.,They are attached either to the proteins (forming glycoproteins) or to the lipids (forming glycolipids).,are present at both internal and external surface of the membrane.,Has a great role in exocytosis,B
Cristae could be seen in,Mitochondria,Ribosomes,RER,SER,A
Lipid synthesis and Glycogen metabolism are functions of,RER,SER,Mitochondria,Ribosomes,B
They are derived from rough endoplasmic reticulum and fuse with the convex surface of Golgi,Transfer vesicles,secretory vesicles,lysosomes,ribosomes,A
These are membranous organelle that contains oxidative and catalases enzymes,RER,centrioles,Peroxisomes,Ribosomes,C
What structure contributes to the cell's cytoskeleton,Ribosomes,Peroxisome,Microfilaments,Endoplasmic reticulum,C
What structure is at the base of cilia,Ribosomes,Peroxisome,Microfilaments,Centrioles,D
Sometimes when we need to use a quick method in diagnosing some diseases in a patient in the operating room as we don't have enough time to use another method. What is the recommended method in this case,Cell culture,Frozen technique,Paraffin technique,Tissue culture,B
A patient came to hospital and needed blood transfusion. We have different blood groups so doctor has to take a blood test before the blood transfusion. What organelle do you think is responsible for the blood antigen on RBCs,Golgi apparatus,Cell coat,Mitochondria,lysosome,B
A 60 Years old female came to hospital with severe pain in her lower limb her son said that she fell at home while cleaning. X-ray shows that there is a fracture femur. where is this bone,thigh,foot,ankle,leg,A
A 20 years old male fell on out stretched hands while playing football ball . X ray shows that there is elbow dislocation. what are bones sharing in that joint,humerus & ulna,humerus tibia & ulna,humerus radius & ulna,humerus & radius,C
Plane which divides the body into two equal right & left halves.,Coronal plane,Horizontal plane,Saggital plane,Transverse plane,C
Movement of a part of the body towards the median plane called:,Flexion,Protraction,Extension,Adduction,D
They supply the bones near to the joint ends :,Nutrient arteries,Periosteal arteries,Articular arteries,Long arteries,C
.........is example of spongy bone,end of long bone,end and shaft of long bone,shaft of long bone,bone marrow,A
type of suture is,synovial joint,2ry cartilaginous joint,1ry cartilaginous joint,fibrous joint,D
epiphysial cartilage plate is:,1ry cartilaginous joint,2ry cartilaginous joint,fibrous joint,synovial joint,A
biceps muscle is,Convergent type,parallel type,Circular type,Segmented type,B
action of Triceps in elbow flexion is:,agonist,antagonist,fixator,prime mover,B
Oral cavity is separated from the nose by:,Nasopharynx,Lips,Oropharynx,Hard and soft palate,D
The serous membrane which lines the abdominal cavity and covers the abdominal organs called:,pleura,peritoneum,serous pericardium,fibrous pericardium,B
.......is the ability of microscope to show two points very close to each other as two separate points.,Resolving power,Magnification power,Staining power,Electron power,A
Resolving power of light microscope is........,0.2 µm,0.2 nm,0.2 m,0.2 mm,A
By electron microscope; cell membrane appears as....,trilaminar structure,bilaminar structure,basophilic structure,acidophilic structure,A
..... is a layer of glycoproteins and glycolipids which are present on the external surface of cell membrane.,Glycocalyx,Protein,Lipid,Cholesterol,A
Cristae could be seen in :,Mitochondria,Ribosomes,RER,SER,A
Lipid synthesis and Glycogen metabolism are functions of:,RER,SER,Mitochondria,Ribosomes,B
They are a membrane bound spherical vesicles containing hydrolytic enzymes......,Lysosomes,RER,SER,Ribosomes,A
What structure contributes to the cell's cytoskeleton?,Ribosomes,Peroxisome,Microfilaments,Endoplasmic reticulum,C
What structure is at the base of cilia?,Ribosomes,Peroxisome,Microfilaments,Centriole,D
They are non-living temporary components of the cytoplasm,Mitochondria,Pigment,Ribosomes,RER,B