A 45-year-old patient presents with muscle weakness and gastrointestinal disorders. Mitochondrial dysfunction is suspected. Which organelle is primarily affected?,Mitochondria,Endoplasmic reticulum,Golgi apparatus,Lysosomes,A
During tissue processing for light microscopy which step prevents autolysis by stabilizing lysosomes?,Fixation,Dehydration,Clearing,Sectioning,A
A biopsy sample needs rapid intra-operative analysis. Which technique would be most appropriate?,Freezing technique,Paraffin technique,Immunohistochemistry,Enzyme histochemistry,A
All of the following are characteristics of the cell membrane EXCEPT:,Trilaminar appearance under EM,Contains cholesterol for stability,Composed mainly of carbohydrates,Has integral and peripheral proteins,C
Which of the following statements correctly distinguishes rough and smooth endoplasmic reticulum?,RER has ribosomes; SER lacks ribosomes,RER is for lipid synthesis; SER is for protein synthesis,RER appears acidophilic; SER appears basophilic,RER is continuous with nuclear outer membrane; SER is not,A
A patient with jaundice is found to have underdeveloped SER in liver cells. What is the primary function compromised?,Drug detoxification,Calcium storage,Protein synthesis,Glycogen metabolism,A
Which cellular component is responsible for packaging and sorting macromolecules?,Golgi apparatus,Mitochondria,Endoplasmic reticulum,Lysosomes,A
A 60-year-old patient presents with accumulated lipofuscin in cardiac muscle cells. This pigment represents:,Residual bodies from lysosomal digestion,Newly synthesized proteins,Stored glycogen,Active mitochondria,A
Which of the following is NOT a function of lysosomes?,ATP generation,Digestion of foreign material,Autophagy of old organelles,Release of enzymes outside cell,A
Which organelle contains catalase to break down hydrogen peroxide?,Peroxisomes,Lysosomes,Mitochondria,Golgi apparatus,A
A cell culture is being observed for cellular behavior. Which microscope type is most suitable?,Phase-contrast microscope,Bright-field microscope,Electron microscope,Fluorescence microscope,A
Which of the following is NOT a difference between light and electron microscopes?,Light microscope uses light; EM uses electrons,Light microscope shows color; EM shows black and white,Light microscope can view living specimens; EM cannot,Light microscope has higher resolution; EM has lower resolution,D
During paraffin technique which step makes tissue transparent?,Clearing,Fixation,Dehydration,Impregnation,A
A patient with a lysosomal storage disorder cannot degrade glycogen. Which organelle is dysfunctional?,Lysosomes,Peroxisomes,Mitochondria,Smooth ER,A
Which statement about hematoxylin and eosin staining is correct?,Hematoxylin stains nuclei blue; eosin stains cytoplasm pink,Hematoxylin stains cytoplasm blue; eosin stains nuclei pink,Both are acidic dyes,Both stain basophilic structures,A
All of the following are membranous organelles EXCEPT:,Mitochondria,Endoplasmic reticulum,Ribosomes,Lysosomes,C
A 50-year-old smoker presents with carbon particles in lung macrophages. These particles represent which type of inclusion?,Exogenous pigment,Endogenous pigment,Stored food,Crystals,A
Which organelle is known as the powerhouse of the cell?,Mitochondria,Golgi apparatus,Endoplasmic reticulum,Nucleus,A
Which of the following correctly describes nuclear pores?,Regulate molecular transport between nucleus and cytoplasm,Are present only in active cells,Allow free passage of all molecules,Are visible with light microscopy,A
A cell with abundant free ribosomes is most likely engaged in:,Protein synthesis for local use,Protein synthesis for export,Lipid synthesis,Glycogen storage,A
A karyotype analysis reveals 47 chromosomes with trisomy 21. This finding is characteristic of:,Down syndrome,Turner syndrome,Klinefelter syndrome,Cri du chat syndrome,A
Which of the following is NOT a component of the cell membrane?,Phospholipids,Proteins,Carbohydrates,DNA,D
A patient with gout has uric acid crystal deposition in joints. These crystals represent which type of inclusion?,Crystals,Stored food,Endogenous pigment,Exogenous pigment,A
Which organelle is responsible for calcium storage in muscle cells?,Smooth endoplasmic reticulum,Rough endoplasmic reticulum,Golgi apparatus,Lysosomes,A
All of the following are functions of the cell membrane EXCEPT:,Passive transport,Active transport,Protein synthesis,Bulk transport,C
Which type of RNA carries genetic codons to ribosomes?,mRNA,tRNA,rRNA,snRNA,A
A cell with prominent heterochromatin and a dark-staining nucleus is most likely:,Inactive,Highly active,Undergoing division,Secreting proteins,A
Which of the following describes the function of telomeres?,Preserve chromosome ends,Attach spindle fibers,Hold sister chromatids,Organize nucleoli,A
A biopsy shows cytoplasmic basophilia. This is most likely due to abundant:,Rough endoplasmic reticulum,Smooth endoplasmic reticulum,Mitochondria,Lysosomes,A
Which organelle contains its own DNA and can undergo binary fission?,Mitochondria,Lysosomes,Peroxisomes,Golgi apparatus,A
A patient presents with poor drug metabolism due to SER dysfunction. Which organ is primarily affected?,Liver,Heart,Brain,Kidney,A
Which staining combination is universally used for routine histological examination?,Hematoxylin and eosin,Periodic acid-Schiff,Sudan black,Iron hematoxylin,A
During paraffin technique what is the purpose of dehydration?,Remove water from tissue,Harden the tissue,Make tissue transparent,Dissolve lipids,A
Which of the following is NOT a type of lysosome?,Primary lysosome,Secondary lysosome,Autophagosome,Peroxisome,D
A cell shows a negative Golgi image under light microscope. This appears as:,Non-stained area in basophilic cytoplasm,Deeply stained area in cytoplasm,Electron-dense vesicles,Basophilic granules,A
Which organelle is responsible for forming the mitotic spindle?,Centrioles,Mitochondria,Golgi apparatus,Endoplasmic reticulum,A
All of the following are functions of the Golgi apparatus EXCEPT:,Protein modification,Lysosome formation,ATP synthesis,Cell membrane renewal,C
A newborn infant presents with jaundice due to underdeveloped SER. What is the accumulated substance?,Bilirubin,Glycogen,Lipofuscin,Uric acid,A
Which of the following is true about the nucleolus?,Site of ribosome assembly,Surrounded by a membrane,Contains mainly DNA,Present only during cell division,A
A cell with extensive RER and a prominent nucleolus is most likely:,Actively synthesizing proteins,Storing lipids,Undergoing division,Inactive,A
Which of the following describes facilitated diffusion?,Assisted by proteins,Requires energy,Against concentration gradient,Involves vesicle formation,A
A patient with muscle contraction problems may have dysfunction in which organelle?,Sarcoplasmic reticulum,Rough ER,Golgi apparatus,Peroxisomes,A
Which of the following is NOT a characteristic of euchromatin?,Darkly stained,Genetically active,Less compact,Prominent in active cells,A
During tissue processing which step replaces alcohol with xylene?,Clearing,Dehydration,Impregnation,Fixation,A
Which organelle contains hydrolytic enzymes?,Lysosomes,Peroxisomes,Mitochondria,Golgi apparatus,A
A cell with abundant SER is most likely involved in:,Lipid synthesis,Protein synthesis,ATP production,Digestion,A
Which of the following is true about ribosomes?,Composed of two subunits,Surrounded by membrane,Found only in cytoplasm,Synthesize lipids,A
A patient presents with accumulation of undigested glycogen in cells. This suggests deficiency in:,Lysosomal enzymes,Peroxisomal enzymes,Mitochondrial enzymes,Golgi enzymes,A
Which of the following describes the sodium-potassium pump?,Active transport requiring ATP,Passive diffusion,Facilitated diffusion,Osmosis,A
All of the following are types of RNA EXCEPT:,mRNA,tRNA,rRNA,dRNA,D
A biopsy sample shows cells with signet ring appearance. This indicates accumulation of:,Lipids,Glycogen,Proteins,Pigments,A
Which organelle is responsible for drug detoxification?,Smooth endoplasmic reticulum,Rough endoplasmic reticulum,Golgi apparatus,Lysosomes,A
A cell culture requires observation of fluorescently labeled antibodies. Which microscope is needed?,Fluorescence microscope,Phase-contrast microscope,Bright-field microscope,Electron microscope,A
Which of the following is NOT a function of mitochondria?,ATP production,Calcium regulation,Apoptosis role,Protein synthesis,D
During paraffin embedding what temperature range is used for paraffin wax?,55-60°C,37-40°C,70-80°C,20-25°C,A
A patient with skin coloration abnormalities may have issues with which pigment?,Melanin,Hemoglobin,Lipofuscin,Bilirubin,A
Which of the following describes the glycocalyx?,Cell coat of glycoproteins and glycolipids,Inner nuclear membrane,Matrix of mitochondria,Cristae of mitochondria,A
All of the following are non-membranous organelles EXCEPT:,Ribosomes,Microtubules,Filaments,Lysosomes,D
A cell with numerous peroxisomes is most active in:,Detoxification reactions,Protein synthesis,ATP production,Calcium storage,A
Which of the following is true about nuclear envelope?,Double membrane with pores,Singe membrane,No pores,Continuous with SER only,A
A patient presents with neurological symptoms due to accumulated lipofuscin. This represents:,Residual bodies in long-lived cells,Active lysosomes,New mitochondria,Secretory granules,A
Which organelle is involved in the formation of secretory granules?,Golgi apparatus,Mitochondria,Nucleus,Peroxisomes,A
During tissue sectioning what thickness is typical for light microscopy?,5-7 µm,20-30 µm,1-2 µm,50-100 µm,A
Which of the following describes chromatin?,DNA-protein complex,RNA-protein complex,Lipid-protein complex,Carbohydrate-protein complex,A
A cell with abundant polysomes is actively engaged in:,Protein synthesis,Lipid synthesis,Glycogen storage,Detoxification,A
All of the following are functions of lysosomes EXCEPT:,Digestion of engulfed material,Autophagy of organelles,ATP synthesis,Release of enzymes,C
Which organelle shows elementary particles on its cristae?,Mitochondria,Golgi apparatus,Endoplasmic reticulum,Lysosomes,A
A patient with respiratory enzyme deficiency likely has dysfunction in:,Mitochondria,Lysosomes,Peroxisomes,Golgi apparatus,A
Which of the following is true about the resolution of light microscope?,0.2 µm,0.2 nm,2.0 µm,20 nm,A
During staining procedure what is the purpose of rehydration?,Replace xylene with water,Remove water,Clear tissue,Hard tissue,A
Which organelle is responsible for ribosome formation?,Nucleolus,Nucleus,Golgi apparatus,Mitochondria,A
A cell with numerous secondary lysosomes is actively engaged in:,Digestive processes,Protein synthesis,Energy production,Lipid synthesis,A
All of the following are components of the cytoskeleton EXCEPT:,Microtubules,Intermediate filaments,Actin filaments,Ribosomes,D
Which of the following describes pinocytosis?,Cell drinking,Cell eating,Active transport,Protein synthesis,A
A patient with connective tissue disorder may have abnormalities in which filament?,Vimentin,Keratin,Desmin,Myosin,A
Which organelle is continuous with the nuclear outer membrane?,Rough endoplasmic reticulum,Smooth endoplasmic reticulum,Golgi apparatus,Mitochondria,A
During electron microscopy what provides the 1000-fold increase in resolution?,Shorter electron wavelength,Better stains,Thinner sections,Higher magnification,A
Which of the following is NOT a characteristic of heterochromatin?,Genetically active,Darkly stained,Compact,Present in inactive cells,A
A cell with extensive Golgi apparatus is likely:,Secreting macromolecules,Storing energy,Detoxifying drugs,Synthesizing DNA,A
All of the following are types of cell transport EXCEPT:,Simple diffusion,Facilitated diffusion,Active transport,Protein synthesis,D
Which organelle contains cytochrome P450 enzymes?,Smooth endoplasmic reticulum,Rough endoplasmic reticulum,Golgi apparatus,Lysosomes,A
A patient with karyotype 45 XO has:,Turner syndrome,Down syndrome,Klinefelter syndrome,Edward syndrome,A
Which of the following describes the function of centrioles?,Form mitotic spindle,Protein synthesis,Energy production,Detoxification,A
During tissue processing what is the purpose of impregnation?,Fill spaces with paraffin,Remove water,Clear tissue,Fix tissue,A
Which organelle is responsible for lipid metabolism?,Smooth endoplasmic reticulum,Rough endoplasmic reticulum,Golgi apparatus,Lysosomes,A
A cell with abundant glycogen particles is storing:,Carbohydrates,Lipids,Proteins,Pigments,A
All of the following are inclusions EXCEPT:,Glycogen,Lipids,Pigments,Ribosomes,D
Which of the following describes the function of microtubules?,Form cytoskeleton,Protein synthesis,Energy production,Lipid synthesis,A
A patient with epidermolysis bullosa may have defects in:,Keratin filaments,Vimentin filaments,Desmin filaments,Myosin filaments,A
Which organelle is involved in the formation of autophagosomes?,Lysosomes,Peroxisomes,Mitochondria,Golgi apparatus,A
During immunohistochemistry what is used to identify specific proteins?,Labeled antibodies,Special stains,H&E staining,Electron microscopy,A
Which of the following is true about DNA?,Double helix with deoxyribose,Single strand with ribose,Contains uracil,Found only in nucleus,A
A cell with prominent nucleolus is:,Actively synthesizing ribosomes,Inactive,Undergoing division,Storing lipids,A
All of the following are functions of the nucleus EXCEPT:,Genetic control center,Site of DNA replication,Site of protein synthesis,Coordinates cell activities,C
Which organelle is responsible for H2O2 degradation?,Peroxisomes,Lysosomes,Mitochondria,Golgi apparatus,A
A patient with bile metabolism issues may have dysfunction in:,SER of liver cells,RER of pancreas,Mitochondria of muscle,Golgi of neurons,A
Which of the following describes the structure of chromosomes?,Condensed chromatin,Extended chromatin,Circular DNA,Single DNA strand,A
During enzyme histochemistry why is cryostat sectioning used?,Preserve enzyme activity,Avoid dehydration,Better staining,Faster processing,A
Which organelle is responsible for membrane synthesis and repair?,Smooth endoplasmic reticulum,Rough endoplasmic reticulum,Golgi apparatus,Lysosomes,A
A cell with numerous mitochondria is likely:,Energy-demanding,Storage function,Detoxifying,Secreting,A
All of the following are characteristics of cell culture EXCEPT:,Allows observation of cellular behavior,Requires intact animals,Useful for vaccine production,Essential for some experiments,B
Which of the following describes the function of tRNA?,Brings amino acids to ribosomes,Carries genetic code,Forms ribosomes,Stores genetic information,A
A patient with cardiac disease may have mitochondrial dysfunction affecting:,Energy production,Protein synthesis,Lipid metabolism,Detoxification,A
Which organelle is involved in the formation of multivesicular bodies?,Lysosomes,Peroxisomes,Mitochondria,Golgi apparatus,A
During fluorescence microscopy what is required for examination?,Dark room,Bright light,Phase contrast,Electron beam,A
Which of the following is true about secretory granules?,Apical acidophilic area under LM,Basal basophilic area,Found in all cells,Contain DNA,A